ES_ID,Brand_Name,Model_Number,Additional_Model_Information,Type,Product_Class,Defrost_Type,Compact,Built-in,Height_Inches,Width_Inches,Capacity_Volume,Adjusted_Volume,Estimated_Annual_Energy_Use,US_Federal_Standard_Energy_Use,Date_Available,Date_Certified,Markets,CB_Model_Identifier,
2249038,MicroFridge,3.0LMF4-7D1W,,Compact,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,33.3,18.6,3,3.6,319,357,9/15/2014,10/1/2015,"United States, Canada",ES_0092273_3.0LMF4-7D1W_10012015045236_70048685,No
2265101,MicroFridge,3.0LMF4H-7D1,",,Microwave combo, easy grip handle, and only Ref is Energy Star",Compact,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,33.3,18.6,3,3.6,319,357,6/1/2016,4/15/2016,"United States, Canada",ES_0092273_3.0LMF4H-7D1_04212016124449_70074945,No
2265103,MicroFridge,3.0LMF4H-7D1S,",,Microwave combo, easy grip handle, and only Ref is Energy Star",Compact,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,33.3,18.6,3,3.6,319,357,6/1/2016,4/15/2016,"United States, Canada",ES_0092273_3.0LMF4H-7D1S_04212016124449_70074945,No
2265099,MicroFridge,3.0LMF4H-7D1W,",,Microwave combo, easy grip handle, and only Ref is Energy Star",Compact,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,33.3,18.6,3,3.6,319,357,6/1/2016,4/15/2016,"United States, Canada",ES_0092273_3.0LMF4H-7D1W_04212016124449_70074945,No
2265095,MicroFridge,3.0LMF4RH,",,Unit with easy grip handle",Compact,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,33.3,18.6,3,3.6,319,357,6/1/2016,4/15/2016,"United States, Canada",ES_0092273_3.0LMF4RH_04212016124449_70074945,No
2265097,MicroFridge,3.0LMF4RHS,",,Unit with easy grip handle",Compact,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,33.3,18.6,3,3.6,319,357,6/1/2016,4/15/2016,"United States, Canada",ES_0092273_3.0LMF4RHS_04212016124449_70074945,No
2265093,MicroFridge,3.0LMF4RHW,",,Unit with easy grip handle",Compact,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,33.3,18.6,3,3.6,319,357,6/1/2016,4/15/2016,"United States, Canada",ES_0092273_3.0LMF4RHW_04212016124449_70074945,No
2218009,MicroFridge,3.0LMF4RW,,Compact,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,33.3,18.6,3,3.6,319,357,8/1/2014,8/27/2014,"United States, Canada",ES_0092273_ 3.0LMF4RW _08272014021903_2752402,No
2249040,MicroFridge,3.0MF4-7CD1,,Compact,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,33.3,18.6,3,3.6,319,357,9/15/2014,10/1/2015,"United States, Canada",ES_0092273_3.0MF4-7CD1 _10012015045236_70048685,No
2249042,MicroFridge,3.0MF4-7CD1S,,Compact,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,33.3,18.6,3,3.6,319,357,9/15/2014,10/1/2015,"United States, Canada",ES_0092273_3.0MF4-7CD1S _10012015045236_70048685,No
2249039,MicroFridge,3.0MF4-7D1,,Compact,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,33.3,18.6,3,3.6,319,357,9/15/2014,10/1/2015,"United States, Canada",ES_0092273_3.0MF4-7D1 _10012015045236_70048685,No
2249041,MicroFridge,3.0MF4-7D1S,,Compact,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,33.3,18.6,3,3.6,319,357,9/15/2014,10/1/2015,"United States, Canada",ES_0092273_3.0MF4-7D1S _10012015045236_70048685,No
2265104,MicroFridge,3.0MF4-7D1X,",,Microwave combo, easy grip handle, and only Ref is Energy Star",Compact,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,33.3,18.6,3,3.6,319,357,6/1/2016,4/15/2016,"United States, Canada",ES_0092273_3.0MF4-7D1X _04212016124449_70074945,No
2251126,MicroFridge,3.0MF4-7TP,",,Unit with microwave oven on top and only refrigerator is Energy Star",Compact,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,33.3,18.6,3,3.6,319,357,9/15/2014,10/21/2015,"United States, Canada",ES_0092273_3.0MF4-7TP_10222015075858_70050817,No
2218007,MicroFridge,3.0MF4R,,Compact,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,33.3,18.6,3,3.6,319,357,8/1/2014,8/27/2014,"United States, Canada",ES_0092273_ 3.0MF4R _08272014021903_2752402,No
2218008,MicroFridge,3.0MF4RCB,,Compact,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,33.3,18.6,3,3.6,319,357,8/1/2014,8/27/2014,"United States, Canada",ES_0092273_ 3.0MF4RCB _08272014021903_2752402,No
2218011,MicroFridge,3.0MF4RS,,Compact,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,33.3,18.6,3,3.6,319,357,8/1/2014,8/27/2014,"United States, Canada",ES_0092273_ 3.0MF4RS _08272014021903_2752402,No
2218012,MicroFridge,3.0MF4RSCB,,Compact,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,33.3,18.6,3,3.6,319,357,8/1/2014,8/27/2014,"United States, Canada",ES_0092273_ 3.0MF4RSCB _08272014021903_2752402,No
2225160,Samsung,RH30H9500**,,Side-by-Side,7 - Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,Automatic,No,No,69.8,35.9,29.5,37.7,687,755,12/8/2014,11/10/2014,"United States, Canada",ES_1023593_RH30H9500**_11072014104426_2777695,No
