ES_ID,Brand_Name,Model_Number,Additional_Model_Information,Type,Defrost_Type,Compact,Built-in,Capacity_Volume,Adjusted_Volume,Estimated_Annual_Energy_Use,US_Federal_Standard_Energy_Use,Date_Available,Date_Certified,Markets,CB_Model_Identifier
2303330,Thermador,T24ID901LP,",,Network Communication",Upright Freezer,Automatic,No,Yes,11.2,19.8,457,540,9/1/2017,3/6/2017,"United States, Canada",ES_0031649_T24ID901LP_03082017044344_70122368
2303331,Thermador,T24ID901RP,",,Reverse Door, Network Communication",Upright Freezer,Automatic,No,Yes,11.2,19.8,457,540,9/1/2017,3/6/2017,"United States, Canada",ES_0031649_T24ID901RP_03082017044344_70122368
2219311,Thermador,T24IF800SP,,Upright Freezer,Automatic,No,Yes,12.2,21.5,472,557,10/15/2014,9/10/2014,"United States, Canada",ES_0031649_T24IF800SP_06182014123847_2737291
2292105,Thermador,T24IF900SP,,Upright Freezer,Automatic,No,Yes,12.2,21.4,443,556,9/1/2017,3/6/2017,"United States, Canada",ES_0031649_T24IF900SP_03082017044344_70122368
2219309,Thermador,T30IF800SP,,Upright Freezer,Automatic,No,Yes,15.8,27.8,564,619,10/15/2014,9/10/2014,"United States, Canada",ES_0031649_T30IF800SP_06182014123847_2737291
2292106,Thermador,T30IF900SP,,Upright Freezer,Automatic,No,Yes,15.8,27.8,493,619,9/1/2017,3/6/2017,"United States, Canada",ES_0031649_T30IF900SP_03082017044344_70122368
2292107,Thermador,T36IF900SP,,Upright Freezer,Automatic,No,Yes,19.4,34.2,543,682,9/1/2017,3/6/2017,"United States, Canada",ES_0031649_T36IF900SP_03082017044344_70122368
2303326,Thermador,T36IF901SP,",,Network Communication",Upright Freezer,Automatic,No,Yes,19.4,34.2,543,682,9/1/2017,3/6/2017,"United States, Canada",ES_0031649_T36IF901SPP_03082017044344_70122368
2282737,True Residential,TUF-24-*-**-B,,Upright Freezer,Automatic,Yes,No,4.2,7.4,385,427,4/25/2016,10/31/2016,"United States, Canada",ES_3320_TUF-24-*-**-B_10312016165135_2695270
2282738,True Residential,TUF-24-D-**-B,,Upright Freezer,Automatic,Yes,No,4.1,7.2,383,425,4/25/2016,10/31/2016,"United States, Canada",ES_3320_TUF-24-D-**-B_10312016172850_4930885
2294472,U-Line,1224FZRA,,Upright Freezer,Automatic,Yes,No,4.8,8.4,390,437,4/1/2017,4/18/2017,"United States, Canada",ES_92283_1224FZRA_04182017154538_0338750
2263423,Whirlpool,WZF57R16F***,,Upright Freezer,Automatic,No,No,15.7,27.6,419,466,4/1/2016,6/14/2016,"United States, Canada",ES_0022856_WZF57R16F***03302016013641_70071754
2261241,White Westinghouse,WWFH20F2RC*,,Upright Freezer,Automatic,No,No,20.2,35.6,480,535,8/10/2015,7/22/2015,"United States, Canada",ES_1021080_WWFH20F2RC*_03022016064141_70040185
2208037,Whynter,CUF-110,,Upright Freezer,Manual,Yes,No,1.1,1.9,215,242,5/10/2014,3/21/2014,"United States, Canada",ES_1122240_CUF-110_03182014035309_2711217
2291160,Whynter,CUF-112SS,,Upright Freezer,Manual,Yes,No,1.1,1.9,215,242,2/21/2017,2/20/2017,"United States, Canada",ES_1122240_CUF-112SS_02172017035021_70110789
2235243,Whynter,CUF-210SSa,,Upright Freezer,Manual,Yes,No,2.1,3.7,219,258,5/10/2015,3/18/2015,United States,ES_1122240_CUF-210SSa_03262015072035_4435848
2290392,Whynter,CUF-301BK,,Upright Freezer,Manual,Yes,No,3,5.3,240,272,12/19/2013,2/9/2017,United States,ES_1122240_CUF-301BK_02102017050228_2948056
2235482,Whynter,UDF-138DW,,Upright Freezer,Automatic,No,No,13.8,24.3,391,438,3/27/2015,3/27/2015,"United States, Canada",ES_1122240_UDF-138DW_03312015031110_70027805
