ES_ID,Brand_Name,Model_Number,Additional_Model_Information,UPC,Load_Configuration,Additional_Washer_Features,Intended_Market,Volume_CubicFeet,Integrated_Modified_Energy_Factor,US_Federal_IMEF_Standard,Estimated_Annual_Energy_Use,Integrated_Water_Factor (IWF),US_Federal_IWF_Standard,Annual_Water_Use,Connected,Connects_Using,R,S,Paired_Dryer,U,Date_Available,Date_Certified,Markets,CB_Model_Identifier,Meets_ENERGY_STAR_Most_Efficient_2017_Criteria
2242247,Bosch,WAT28401UC,,8.25E+11,Front Load,Delayed Start,Residential,2.2,2.22,1.84,84,3.6,4.7,2294,No,,,No,Yes,"WTG86401UC,WTG86402UC",9/16/2015,3/20/2015,"United States, Canada",ES_31649_WAT28401UC_06232015164156_1305658,No
2242248,Bosch,WAT28402UC,,8.25E+11,Front Load,Delayed Start,Residential,2.2,2.22,1.84,84,3.6,4.7,2294,No,,,No,Yes,"WTG86401UC,WTG86402UC",9/16/2015,3/20/2015,"United States, Canada",ES_31649_WAT28402UC_06232015164156_653955,No
2295159,Bosch,WAW285H2UC,,8.25E+11,Front Load,"Anti-Wrinkle,Gentle Cycle,Delayed Start,Sanitize Option,Hand Wash Cycle",Residential,2.2,2.22,1.84,84,3.7,4.7,2358,Yes,Wi-Fi,Other,,Yes,WTG865H2UC,9/1/2017,5/1/2017,"United States, Canada",ES_31649_WAW285H2UC_04292017160115_8727838,No
2236009,Crosley,CFW7400***,,12505386107,Front Load,,Residential,3.9,2.52,1.84,96,3,4.7,3452,No,,,,No,,3/17/2014,3/6/2015,"United States, Canada",ES_1021080_CFW7400***_04072015042915_70025431,No
2289579,Crosley,CFWH4084G**,,8.83E+11,Front Load,,Residential,4.2,2.92,1.84,85,3.2,4.7,3936,No,,,,Yes,ES_22856_CED7464G**_03232017015519_4119093,2/1/2017,12/8/2016,"United States, Canada",ES_92264_CFWH4084G**_01282017165803_2683820,Yes
2247951,Crosley,CFWH7300***,,12505386893,Front Load,,Residential,3.9,2.52,1.84,96,3,4.7,3452,No,,,,No,,9/8/2015,9/14/2015,"United States, Canada",ES_0092264_CFWH7300***_09142015114049_70046085,No
2234924,Crosley,CLCE600***,,12505386626,Top Load,,Residential,3.8,2.06,1.29,175,4.3,8.4,4820,No,,,,No,,3/19/2015,3/19/2015,"United States, Canada",ES_0015649_CLCE600***_03192015020957_70027013,No
2234926,Crosley,CLCE700***,,12505386633,Top Load,,Residential,3.8,2.06,1.29,175,4.3,8.4,4820,No,,,,No,,3/19/2015,3/19/2015,"United States, Canada",ES_0015649_CLCE700***_03192015020957_70027013,No
2297392,Electrolux,EFLS210****,,12505387180,Front Load,,Residential,2.4,2.13,1.84,90,3.8,4.7,2690,No,,,,No,,5/11/2017,2/24/2015,"United States, Canada",ES_1021080_EFLS210****_06092017023313_70138022,No
2260527,Electrolux,EFLS517****,,12505386688,Front Load,,Residential,4.3,2.76,1.84,85,3.2,4.7,4059,No,,,,Yes,EFME617****,2/24/2016,2/12/2016,"United States, Canada",ES_1021080_EFLS517****_02222016043811_70048470,Yes
2260517,Electrolux,EFLS617****,,12505386701,Front Load,,Residential,4.4,2.92,1.84,85,3.2,4.7,4154,No,,,,Yes,ES_1021080_EFME617****_02152016192144_4104308,2/24/2016,2/8/2016,"United States, Canada",ES_1021080_EFLS617****_02222016041952_70048471,Yes
2286032,Electrolux,EFLW317****,,12505386947,Front Load,,Residential,4.3,2.38,1.84,65,3.7,4.7,4693,No,,,,Yes,,1/1/2017,12/13/2016,"United States, Canada",ES_1021080_EFLW317****_12132016103613_70106926,No
2261335,Electrolux,EFLW417****,,12505386671,Front Load,,Residential,4.3,2.76,1.84,55,3.2,4.7,4059,No,,,,Yes,ES_1021080_EFME417****_02152016192532_4332028,3/3/2016,3/1/2016,"United States, Canada",ES_1021080_EFLW417****02222016043726_70048469,Yes
2233847,Electrolux,EIFLS20****,,12505386138,Front Load,,Residential,2.4,2.13,1.84,90,3.8,4.7,2690,No,,,,No,,1/1/2015,2/24/2015,"United States, Canada",ES_1021080_EIFLS20****_02242015024604_70024405,No
2235443,Electrolux,EIFLS55****,,12505381737,Front Load,,Residential,4.2,2.38,1.84,120,3.7,4.7,4584,No,,,,No,,11/16/2011,3/30/2015,"United States, Canada",ES_1021080_EIFLS55****_03302015115213_70025093,No
2234427,Electrolux,EIFLS60****,,12505383793,Front Load,,Residential,4.3,2.38,1.84,120,3.7,4.7,4693,No,,,,No,,10/28/2010,3/6/2015,"United States, Canada",ES_0015649_EIFLS60****_03102015013354_70025431,No
2234429,Electrolux,EIFLW50****,,12505384813,Front Load,,Residential,4.2,2.38,1.84,120,3.7,4.7,4584,No,,,,No,,11/15/2011,3/6/2015,"United States, Canada",ES_0015649_EIFLW50****_03102015013354_70025431,No
2238074,Kenmore,592-2922*,,1,Top Load,,Residential,4.3,2.09,1.29,132,4,8.4,5050,No,,,,No,,4/22/2015,4/22/2015,Canada,ES_0015649_592-2922*_04202015015759_70029832,No
2238075,Kenmore,592-2933*,,1,Top Load,,Residential,4.8,2.11,1.29,176,4.1,8.4,5757,No,,,,No,,4/22/2015,4/22/2015,Canada,ES_0015649_592-2933*_04202015015759_70029832,No
