ES_ID,Brand_Name,Model_Number,Additional_Model_Information,Cooling_Capacity_BTUperHour,Type,Reverse_Cycle,Casement_Window,Energy_Efficiency_Ratio,Combined_Energy_Efficiency_Ratio,Date_Available,Date_Certified,Markets,CB_Model_Identifier
2262293,Garrison,2498538,,18000,Window,No,None,,11.8,3/1/2016,3/10/2016,"United States, Canada",ES_1095007_2498538_03122016011410_5250657
2262294,Garrison,2498539,,25000,Window,No,None,,10.3,3/1/2016,3/10/2016,"United States, Canada",ES_1095007_2498539_03122016011424_5264841
2262295,Garrison,2498540,,8000,Through the Wall,No,None,,10.6,3/1/2016,3/10/2016,"United States, Canada",ES_1095007_2498540_03122016011438_5278377
2262296,Garrison,2498541,,10000,Through the Wall,No,None,,10.6,3/1/2016,3/10/2016,"United States, Canada",ES_1095007_2498541_03122016011451_5291681
2262297,Garrison,2498542,,10000,Through the Wall,No,None,,10.6,3/1/2016,3/10/2016,"United States, Canada",ES_1095007_2498542_03122016011504_5304294
2262298,Garrison,2498543,,12000,Through the Wall,No,None,,10.5,3/1/2016,3/10/2016,"United States, Canada",ES_1095007_2498543_03122016011519_5319112
2262299,Garrison,2498544,,12000,Through the Wall,No,None,,10.5,3/1/2016,3/10/2016,"United States, Canada",ES_1095007_2498544_03122016011536_5336244
2289417,GE,AEC08LW*#,,8000,Window,No,None,,12,1/23/2017,1/26/2017,United States,ES_1123206_AEC08LW*#_01242017140044_7221185
2306169,GE,AEC08LXL1,,8000,Window,No,None,,12,11/9/2017,11/9/2017,United States,ES_1123206_AEC08LXL1_11072017153957_9882318
2289416,GE,AEC10AW*#,,10200,Window,No,None,,12,1/23/2017,1/26/2017,United States,ES_1123206_AEC10AW*#_01242017135847_2421533
2306170,GE,AEC10AXL1,,10200,Window,No,None,,12,11/9/2017,11/9/2017,United States,ES_1123206_AEC10AXL1_11072017154138_5889856
2255244,GE,AEC12AV**,,12050,Window,No,None,,12,1/1/2016,12/22/2015,United States,ES_1123206_AEC12AV**_12212015170310_7492181
2289415,GE,AEC12AW*#,,12100,Window,No,None,,12,1/23/2017,1/26/2017,United States,ES_1123206_AEC12AW*#_01242017135650_2823449
2306172,GE,AEC12AXH1,,12100,Window,No,None,,12,11/9/2017,11/9/2017,United States,ES_1123206_AEC12AXH1_11082017182233_4758722
